word	count	ipa	variants	route	confidence	reason	layer
מחלה	3	mˈaxlu	maxˈalu	rule	LOW	audio-homograph	L
"נ""א"	3	nin ˈaləf		rule	LOW	letter-names	A
מחשיב	3	maxˈaʃiv	maxˈaʃif	rule	LOW	model-pointed-guess	L
קובע	3	kˈibə		rule	MED		G
מתייחס	3	msajxs		fallback	LOW	lk-fallback	L
שליחים	3	ʃlˈixim	ʃəlˈixim	rule	LOW	model-pointed-guess	L
יאגן	3	jaɡn		rule	LOW	alef-default	G
אנפילן	3	ˈanfiln		rule	LOW	alef-default,pe-default	G
פארשלאסן	3	farʃlˈasn		rule	LOW	alef-default,pe-default	G
סכומים	3	sxˈimim		rule	MED		G
מילתא	3	mˈilsu		rule	LOW	model-pointed-guess	L
אנזאגן	3	ˈunzuɡn		lexicon	HIGH		G
נחמו	3	naxˈami	naxˈamu	rule	LOW	sefaria-pointed	L
אויטאמאטיש	3	ˈɔjtamatiʃ		rule	LOW	alef-default	G
הנני	3	hnni		rule	MED		G
דעתי	3	dˈati		rule	LOW	sefaria-pointed	L
מ'ברענגט	3	mbrɛnɡt		rule	MED	clitic	G
צוגעקומענע	3	ʦˈiɡəkimənə		rule	MED		G
ארויפגעקומען	3	arˈoʊfɡəkimən		rule	MED	prefix-rescue:gold+ארויפגע	G
למקום	3	lmkim		rule	MED		G
אהבת	3	ˈahavas		lexicon	HIGH		L
ממלא	3	mmla		rule	LOW	alef-default	G
זומערדיגע	3	zˈimərdiɡə		rule	MED		G
שמירת	3	ʃmˈiras	ʃəmˈiras	rule	LOW	sefaria-pointed	L
עינים	3	ˈajnim		rule	MED		G
הראשון	3	hrˈaʃin		rule	LOW	alef-default	G
באבוב'ער	3	babˈibər		rule	LOW	alef-default	G
בינאקולאר	3	bˈinakilar		rule	LOW	alef-default	G
ווייטע	3	vˈaːtə		lexicon	HIGH		G
בעיקר	3	bajkr		rule	MED		G
הדורות	3	hadˈɔjrɔjs		rule	LOW	lk-proclitic-pointed:sefaria-pointed	L
חבורה	3	xabˈuru	xavˈuru	rule	LOW	audio-homograph	L
געענדיגן	3	ɡəˈɛndiɡn		rule	MED		G
שורש	3	ʃirʃ		rule	MED		G
בביתו	3	bˈisi		fallback	LOW	lk-fallback	L
בגופו	3	bɡˈifi		rule	LOW	pe-default	G
בדבר	3	bˈidvur		rule	LOW	model-pointed-guess	L
זאק	3	zak		rule	LOW	alef-default	G
שלעפ	3	ʃlɛf		rule	LOW	pe-default	G
טרעפיק	3	trˈɛfik		rule	LOW	pe-default	G
שניידער	3	ʃnˈajdər		rule	MED		G
רייזעלע	3	rˈajzələ		rule	MED		G
נעקסטן	3	nɛkstn		rule	MED		G
אטעמען	3	ˈatəmən		rule	LOW	alef-default	G
ורבי	3	ˈirbi		rule	MED		G
מיינסטו	3	mˈajnsti		rule	MED		G
מ'טוישט	3	mtɔjʃt		rule	MED	clitic	G
נאז	3	nɔz	nɔs	lexicon	HIGH		G
אדורכגעגאנגען	3	adˈirxɡəɡanɡən		rule	LOW	alef-default	G
פוילקייט	3	fˈɔjlkaːt		rule	LOW	pe-default	G
עפר	3	ɛfr		rule	LOW	pe-default	G
שעכט	3	ʃɛxt		rule	MED		G
ביימער	3	bˈajmər		rule	MED		G
איילבירטן	3	ˈajlbirtn		rule	LOW	alef-default	G
ארוך	3	ˈarix		rule	LOW	alef-default	G
מ'ארבעט	3	mˈarbət		rule	MED	clitic	G
שטייגער	3	ʃtˈajɡər		rule	MED		G
המזון	3	hmzin		rule	MED		G
גניבה	3	ɡnˈibə		rule	MED		G
ישיבות	3	jʃˈivɔjs	jəʃˈivɔjs	rule	LOW	model-pointed-guess	L
בריטישע	3	brˈitiʃə		rule	MED		G
עונש	3	inʃ		rule	MED		G
חַיִּים	3	xˈajim		lexicon	HIGH		N
הרבי	3	hrbi		rule	MED		G
טפח	3	tˈɛfax		rule	LOW	sefaria-pointed	L
כבר	3	kvur	kəvˈur	rule	LOW	sefaria-pointed	L
ומה	3	ˈimə		rule	MED		G
נמצא	3	nmʦa		rule	LOW	alef-default	G
מ'פאקט	3	mpakt		rule	MED	clitic	G
ווינטערדיגע	3	vˈintərdiɡə		rule	MED		G
זעמעלעך	3	zˈɛmələx		rule	MED		G
פייוו	3	fajv	fajf	rule	LOW	pe-default	G
טרי	3	tri		rule	MED		G
הסדר	3	hasˈajdɛr		rule	LOW	lk-proclitic-pointed:sefaria-pointed	L
זיסער	3	zˈisər		rule	MED		G
